Year,CensusBlock,City,State,HouseholdIncome,HouseholdIncomeMedian
2013,13121001500,Atlanta,GA,60722,10135
2013,13121004100,Atlanta,GA,22372,4834
2013,13121008302,Atlanta,GA,28542,9903
2013,13089020100,Atlanta,GA,159362,16849
2013,13121009403,Atlanta,GA,54643,8469
2013,13121007500,Atlanta,GA,17545,5970
2013,13121007100,Atlanta,GA,20282,5339
2013,13121000400,Atlanta,GA,105938,25568
2013,13121006500,Atlanta,GA,42442,3863
2013,13121009404,Atlanta,GA,86205,14820
2013,13121002100,Atlanta,GA,35250,12418
2013,13121004200,Atlanta,GA,18722,2967
2013,13121008400,Atlanta,GA,20458,5086
2013,13121000200,Atlanta,GA,94125,19161
2013,13121009501,Atlanta,GA,139750,23422
2013,13121007603,Atlanta,GA,14346,3036
2013,13121003600,Atlanta,GA,30107,14053
2013,13121006400,Atlanta,GA,27159,6393
2013,13121001400,Atlanta,GA,69018,9706
2013,13121009502,Atlanta,GA,50655,9007
2013,13121007900,Atlanta,GA,57784,7993
2013,13121008500,Atlanta,GA,27880,3130
2013,13121000100,Atlanta,GA,125819,15644
2013,13121003000,Atlanta,GA,71875,17047
2013,13121009601,Atlanta,GA,88264,30804
2013,13121007604,Atlanta,GA,17238,3419
2013,13121006300,Atlanta,GA,23398,4221
2013,13121007805,Atlanta,GA,37857,8289
2013,13089023700,Atlanta,GA,25772,5774
2013,13121009602,Atlanta,GA,96696,19530
2013,13121001300,Atlanta,GA,56320,10133
2013,13121004300,Atlanta,GA,31607,5641
2013,13121008601,Atlanta,GA,20236,5268
2013,13121001900,Atlanta,GA,51098,12678
2013,13121009603,Atlanta,GA,59800,10291
2013,13121007002,Atlanta,GA,19943,12757
2013,13121008000,Atlanta,GA,40517,6507
2013,13089022401,Atlanta,GA,69917,15093
2013,13121006200,Atlanta,GA,20900,2763
2013,13121009700,Atlanta,GA,163125,39808
2013,13121002600,Atlanta,GA,30458,11790
2013,13121004400,Atlanta,GA,18778,1796
2013,13121008602,Atlanta,GA,33875,17010
2013,13089020900,Atlanta,GA,37242,6565
2013,13121009801,Atlanta,GA,143000,34761
2013,13121007400,Atlanta,GA,14754,2238
