UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
142,234,2015,Seattle,WA,98109,Specialty,Non-Refrigerated Warehouse,1926,50292,13.3,13.3,41.6,41.6,715446.0,715446.0,0.0,715475.0,0.0
143,235,2015,Seattle,WA,98109,NonResidential,Hotel,1998,207656,75.8,81.0,161.5,169.5,10735331.0,11474804.0,0.0,5546361.0,5189200.0
144,237,2015,Seattle,WA,98117,Specialty,K-12 School,1999,67235,35.2,38.7,91.8,95.5,2364351.0,2599890.0,0.0,1766824.0,597600.0
145,238,2015,Seattle,WA,98103,Specialty,Office,1957,85017,97.0,106.3,255.1,269.5,9146727.0,10026737.0,0.0,6915309.0,2231705.0
146,239,2015,Seattle,WA,98136,Specialty,K-12 School,1991,58118,23.1,24.5,66.1,70.4,1362993.0,1444495.0,0.0,1181942.0,181100.0
147,241,2015,Seattle,WA,98133,NonResidential,Hotel,1968,64893,93.3,93.6,178.5,179.4,6056481.0,6075196.0,0.0,2500329.0,3556255.0
148,242,2015,Seattle,WA,98115,Specialty,K-12 School,1989,52792,22.1,26.0,69.5,81.6,1227290.0,1440992.0,0.0,1227341.0,0.0
149,243,2015,Seattle,WA,98108,Specialty,K-12 School,1925,70762,41.4,41.4,54.3,54.3,2933003.0,2933003.0,0.0,364295.0,2568723.0
150,244,2015,Seattle,WA,98104,NonResidential,Office,1900,56456,34.3,35.9,91.5,96.5,1527917.0,1599245.0,0.0,1183443.0,344523.0
151,245,2015,Seattle,WA,98134,NonResidential,Other - Entertainment/Public Assembly,1999,1585960,37.8,37.8,106.9,106.9,59991984.0,59991984.0,0.0,50980399.0,9013708.0
152,247,2015,Seattle,WA,98134,Specialty,Distribution Center,1924,179161,55.2,61.9,165.9,184.3,9974370.0,11178092.0,0.0,9337240.0,637519.0
153,248,2015,Seattle,WA,98134,Specialty,Non-Refrigerated Warehouse,1965,50000,58.5,69.0,183.8,216.8,4116805.0,4855148.0,0.0,4116974.0,0.0
154,249,2015,Seattle,WA,98134,NonResidential,Other - Entertainment/Public Assembly,1999,1172127,49.1,46.6,121.8,114.0,57514116.0,54628004.0,0.0,39396997.0,18118769.0
155,250,2015,Seattle,WA,98134,NonResidential,Hotel,2005,168449,90.9,93.5,188.0,188.1,13116256.0,13484454.0,0.0,6384861.0,6731660.0
156,257,2015,Seattle,WA,98134,NonResidential,Non-Refrigerated Warehouse,1916,79600,22.4,22.4,70.5,70.5,1786986.0,1786986.0,0.0,1787060.0,0.0
157,260,2015,Seattle,WA,98103,Specialty,SPS-District K-12,1997,241066,32.6,42.1,63.3,75.3,7870351.0,10142007.0,0.0,3348000.0,4522491.0
158,261,2015,Seattle,WA,98108,Specialty,Office,1980,334368,154.5,157.5,439.3,442.5,52273792.0,53294752.0,0.0,44866796.0,7408855.0
