Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0031/007,350 Bay St.,360 BAY ST,94133,"360 Bay St
SAN FRANCISCO, CA 94133",38697,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0031/007,1968,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,,Exempt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0037/001,50 Francisco,50 FRANCISCO ST,94133,"50 FRANCISCO ST
SAN FRANCISCO, CA 94133",130469,Office,http://propertymap.sfplanning.org/?&search=0037/001,1976,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,89,51.4,121.9,-44.5,-44.5,452.3,3.5,52.1,121.3,87,55.1,125.9,-41.2,-41.2,524.8,4,57,126,84,52.8,125.9,-37.6,-37.6,491.4,3.8,53.3,124.8,,,,,,,,,,88,49.6,117.6,-42.2,-42.2,486.4,3.7,49.8,117.6,99,29.3,97.9,-67,,39.54,,29.3,97.9,95,41.3,,-53.7,,418.09,,44,
0040/017,295 BAY ST,295 BAY ST,94133,"295 BAY ST
SAN FRANCISCO, CA 94133",35590,Office,http://propertymap.sfplanning.org/?&search=0040/017,1968,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Violation - Insufficient Data,,Exempt,,Exempt,,Exempt,,Exempt,,Violation - Did Not Report,,68,69.6,133.1,-20.2,-20.2,154.8,4.3,69.6,133.1,99,21.2,46.1,-71.8,-71.8,49.3,1.4,21.2,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0041/038,2310 MASON ST,2310 MASON ST,94133,"2310 MASON ST
SAN FRANCISCO, CA 94133",13923,Office,http://propertymap.sfplanning.org/?&search=0041/038,1968,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,92,23.3,63.9,-48.5,-48.5,23.2,1.7,24.1,64.8,94,20.9,57.4,-52.4,-52.4,23.4,1.7,22,58.5,95,20,55.3,-55.4,-55.4,21.3,1.5,20.2,55.5,92,22.5,61.4,-49.3,-49.3,23.8,1.7,23.7,62.8,91,25.3,66.9,-46.7,-46.7,26.4,1.9,25.5,67.1,,,,,,,,,,,,,,,,,,
0041/040,315 Bay,315 BAY ST,94133,"315 BAY ST
SAN FRANCISCO, CA 94133",20796,Office,http://propertymap.sfplanning.org/?&search=0041/040,1976,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,94,30.3,71.6,-50.9,-50.9,31.8,2,31.7,73.1,90,35,79.1,-44.4,-44.4,39.6,2.5,37.1,81.3,84,38.2,93.1,-36.2,-36.2,42.9,2.8,38.6,92.5,85,35.8,90.2,-37,-37,40.8,2.6,37.8,92.3,96,37.3,93.3,-36.8,-36.8,42.4,2.7,37.5,93.5,,,,,,,,,,,,,,,,,,
0050/001,1040 COLUMBUS AVE,1040 COLUMBUS AVE,94133,"1040 COLUMBUS AVE
SAN FRANCISCO, CA 94133",10572,Food Service,http://propertymap.sfplanning.org/?&search=0050/001,1950,2013-04-01T00:00:00.000,Pending - Contracted,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0050/004,Bimbo's 365 Club,1001 COLUMBUS AVE,94133,"1001 COLUMBUS AVE
SAN FRANCISCO, CA 94133",20058,Bar/Nightclub,http://propertymap.sfplanning.org/?&search=0050/004,1931,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0050/021,Columbus Motor Inn,1065 COLUMBUS AVE,94133,"1065 COLUMBUS AVE
SAN FRANCISCO, CA 94133",16200,Hotel,http://propertymap.sfplanning.org/?&search=0050/021,1976,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,22,96,190.7,29.3,29.3,98.5,6.1,96.7,192.8,22,94,187.2,30.5,30.5,104,6.4,94,187.2,21,98.1,194,31.5,31.5,104.5,6.4,98.1,194,19,97.9,193.3,34.3,34.3,104.2,6.4,99,196.7,18,105.3,203.6,35.7,35.6,115.6,7.1,105.4,203.9,,,,,,,,,,,,,,,,,,
0056/007,55 Francisco St.,55 FRANCISCO ST,94133,"55 Francisco St
SAN FRANCISCO, CA 94133",252060,Office,http://propertymap.sfplanning.org/?&search=0056/007,0,2023-04-01T00:00:00.000,Upcoming,Complied,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,57,108.8,224.6,-7.2,-7.2,1020.8,7,107.3,219.8,,,,,,,,,,88,72.8,165.5,-39.6,-39.6,743.5,5.1,73.9,165.9,87,68.7,164.6,-38.1,-38.1,718.7,4.9,68.7,164.6,73,94.6,207.2,-23.4,-23.4,950.7,6.5,94.7,207,,,,,,,,,,,,,,,,,,
0056/A002,1850 Kearny,140 CHESTNUT ST,94133,"140 CHESTNUT ST
SAN FRANCISCO, CA 94133",17786,Manufacturing/Industrial Plant,http://propertymap.sfplanning.org/?&search=0056/A002,1906,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,142.2,249.8,,,158.6,8.9,146.2,254,,143.4,257.8,,,161.4,9.1,143.4,257.8,,100.6,187.6,,,114.8,6.5,100.6,187.6,,,,,,,,,,,,,,,,,,
0056/B002,LPF 150 Chestnut,150 CHESTNUT ST,94133,"150 CHESTNUT ST
SAN FRANCISCO, CA 94133",36642,Office,http://propertymap.sfplanning.org/?&search=0056/B002,1906,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,,19.4,56.7,-61.7,-61.7,55.9,1.5,19.4,56.7,99,19.6,51.2,-68.8,-68.8,53.4,1.5,19.6,51.2,,15.6,41.1,-72.2,-72.2,42.7,1.2,15.6,41.1,81,41.3,124.2,-32.9,,129.04,,41.3,124.2,,,,,,,,,
0056/C002,LPF 1725 Montgomery,1701 MONTGOMERY ST,94133,"1701 MONTGOMERY ST
SAN FRANCISCO, CA 94133",42989,Office,http://propertymap.sfplanning.org/?&search=0056/C002,1906,2020-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,,,,,,,,,,,,,,,,,,,90,32.4,100.7,-47.7,-47.7,112.9,2.6,32.5,100.8,96,26,80.3,-56.8,-56.8,90.3,2.1,26,80.3,,,,,,,,,,100,16.1,50.5,-76.6,,61.77,,14.6,46.1,,,,,,,,,
0057/001,1700 Montgomery,1700 MONTGOMERY ST,94111,"1700 MONTGOMERY ST
SAN FRANCISCO, CA 94111",142446,Office,http://propertymap.sfplanning.org/?&search=0057/001,1976,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,90,48.9,123.3,-46,-46,481.1,3.4,50.3,124.8,89,51.8,136.6,-43.9,-43.9,580.7,4.1,52.5,135,86,57,147.6,-40.1,-40.1,598.3,4.2,57.5,146.5,,,,,,,,,,88,56.8,141.7,-42.9,-42.8,621.5,4.4,56.4,139.8,94,37.8,99.8,-52.4,,597.66,,37.3,99,100,26.4,,-71.8,,400.67,,28,
0058/001,SWL 318 - RoundHouse 2,10 Lombard Street,94111,"1500 SANSOME ST
SAN FRANCISCO, CA 94111",11169,Office,http://propertymap.sfplanning.org/?&search=0058/001,1914,2099-04-01T00:00:00.000,Exempt - Municipal,Complied,,Violation - Insufficient Data,,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,Exempt,Added After Benchmark Year,,,,,26,101.9,211.4,30,30,73.1,6.5,109.6,219.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0059/003,1620 Montgomery Street,1620 MONTGOMERY ST,94111,"1620 MONTGOMERY ST
SAN FRANCISCO, CA 94111",47618,Office,http://propertymap.sfplanning.org/?&search=0059/003,1907,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,95,41.5,107.8,-53.3,-53.3,126.3,2.9,43.9,110.3,93,40.1,106.8,-50.6,-50.6,138.1,3.2,44.2,111.1,95,41.1,108.8,-53.7,-53.7,133.9,3.1,42.1,109.8,96,33.9,87.7,-56.9,-56.9,109.1,2.5,37,91.1,99,29.3,68.1,-67.3,-67.3,89.8,2.1,29.6,68.3,97,35.6,89.9,-59.8,,120.03,,34.6,88.8,,,,,,,,,
0065/048,990 COLUMBUS AVE,990 COLUMBUS AVE,94133,"990 COLUMBUS AVE
SAN FRANCISCO, CA 94133",16900,Office,http://propertymap.sfplanning.org/?&search=0065/048,1915,2020-04-01T00:00:00.000,Upcoming,Complied,,Exempt,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,56,45.6,112.8,-7.6,-7.6,51.8,3.1,47.6,114.9,,,,,,,,,,82,36.5,90.4,-35,-35,44.7,2.6,37.7,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0066/001,"701 Chestnut Street, LLC",2295 TAYLOR ST,94133,"2295 TAYLOR ST
SAN FRANCISCO, CA 94133",10440,College/University,http://propertymap.sfplanning.org/?&search=0066/001,1919,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Complied,,,106.3,190.9,-27.3,-27.3,67.9,6.5,118,203.1,,97.6,176,-33,-33,66.5,6.4,111.2,190.4,,55.2,117.1,-55.4,-55.4,39,3.7,59.6,121.6,,94.8,185,-29.6,-29.6,64.7,6.2,116.3,207.6,,131.5,238.9,-9,-9,90.4,8.7,133,240.5,,,,,,,,,,,,,,,,,,
0081/001,LPF One Lombard,1 LOMBARD ST,94111,"1 LOMBARD ST
SAN FRANCISCO, CA 94111",120983,Other - Recreation,http://propertymap.sfplanning.org/?&search=0081/001,1904,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,25.1,53,-45.3,-45.3,196.4,1.6,26.2,54.1,,29.1,59.1,-38.9,-38.9,242.5,2,30.5,60.7,,115.8,198.6,105.1,105.1,870.9,7.2,118.7,201.6,,123,210,116.9,116.9,923.6,7.6,127.7,214.9,,138.8,240.2,148.3,148.1,1081.7,8.9,139.2,240.7,,149.1,288.6,282.3,,1222.96,,138.2,277.1,59,76.7,,5,,383.01,,75.8,
0084/008,Interland - 1265 Battery Street,1265 BATTERY ST,94111,"1265 BATTERY ST
SAN FRANCISCO, CA 94111",80383,Office,http://propertymap.sfplanning.org/?&search=0084/008,1982,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,77,61,132.8,-28.9,-28.9,320.4,4,61,132.8,84,48.8,114.4,-37.6,-37.6,290,3.6,50.5,116.3,79,57.2,129.6,-30.7,-30.7,320.2,4,58.4,130.8,85,49,114.6,-37.7,-37.7,278.3,3.5,50.1,114.2,83,54.5,121.9,-35.3,-35.3,303.4,3.8,54.5,121.8,85,52.8,124.5,-38.2,,347.9,,53.2,125.9,87,49.6,,-40.8,,330.9,,47.8,
0084/009,Interland - 155 Greenwich Street,101 GREENWICH ST,94111,"101 GREENWICH ST
SAN FRANCISCO, CA 94111",149315,Office,http://propertymap.sfplanning.org/?&search=0084/009,1981,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,82,68.7,195.5,-34.5,-34.5,745.2,5,68.3,193.3,83,66.2,188.6,-36,-36,811.5,5.4,67.2,189.9,76,69,195.8,-27.1,-27.1,797.7,5.3,68.9,194.3,77,69.7,203.3,-28.8,-28.8,797.9,5.5,69.9,203.9,56,64.8,182.7,-7,-7,729.2,5,64.8,182.7,,29,87.3,-57.3,,361.46,,28.8,87,,38.1,,-40.4,,434.18,,38.1,
0085/005,1301 Sansome Street,1301 SANSOME ST,94133,"1301 SANSOME ST
SAN FRANCISCO, CA 94133",38440,Office,http://propertymap.sfplanning.org/?&search=0085/005,1907,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,80,40.5,127.2,-32.2,-32.2,118.1,3.1,40.5,127.2,68,47.4,148.9,-19.2,-19.2,158.2,4.1,47.4,148.9,68,48.5,152.4,-18.8,-18.8,152.1,4,48.2,151.2,66,49,153.9,-16.8,-16.8,153.6,4,49,153.9,72,46.4,145.6,-23.1,-23.1,156.7,4.1,46.4,145.6,72,46.3,145.5,-23.8,,156.6,,46.3,145.5,,,,,,,,,
0085/048,Interland - 1355 Sansome,1355 SANSOME ST,94133,"1355 SANSOME ST
SAN FRANCISCO, CA 94133",66700,Office,http://propertymap.sfplanning.org/?&search=0085/048,1982,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,78,79.1,186.8,-29.5,-29.5,355.4,5.3,81,188.9,70,87.3,206.4,-21.1,-21.1,432.5,6.5,88.2,205.2,75,81.4,194.1,-26.7,-26.7,386.9,5.8,82,193.3,85,83.3,198,-38.7,-38.7,395.3,5.9,83.3,198,,69.4,173,-34.2,-34.1,357,5.4,69.6,173.2,89,76.2,194.9,-44.1,,396.59,,75.4,194,91,72.2,,-47.3,,375.63,,72.8,
0088/020,Maybeck Building,1736 STOCKTON ST,94133,"1736 STOCKTON ST
SAN FRANCISCO, CA 94133",14384,Office,http://propertymap.sfplanning.org/?&search=0088/020,1907,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,76,64.5,97.8,-27.5,-27.5,54,3.8,68.1,101.6,75,64.7,98.1,-26.1,-26.1,56.4,3.9,71.1,104.8,85,56.2,85.1,-37.7,-37.7,48,3.3,59.9,89,88,54.8,87.5,-42.1,-42.1,47.7,3.3,60.7,93.8,84,62.9,97.5,-37.5,-37.5,55.6,3.9,63.3,97.9,,,,,,,,,,,,,,,,,,
0090/030,725 Greenwich St. Apartment,725 GREENWICH ST,94133,"725 GREENWICH ST
SAN FRANCISCO, CA 94133",16228,Office,http://propertymap.sfplanning.org/?&search=0090/030,1985,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,86,36.9,115.7,-36.6,-36.6,31.4,2.8,36.9,115.7,82,39.3,123.5,-31.1,-31.1,38.3,3.4,39.3,123.5,92,32.4,101.6,-44.3,-44.3,29.6,2.6,32.4,101.6,87,36.2,113.5,-36.9,-36.9,33.1,2.9,37,116.1,87,36.4,114.3,-38,-37.9,33.3,3,36.4,114.5,,,,,,,,,,,,,,,,,,
0101/031,721 Filbert Street Garage,721 FILBERT ST,94133,"721 FILBERT ST
SAN FRANCISCO, CA 94133",23836,Parking,http://propertymap.sfplanning.org/?&search=0101/031,1907,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,,69.9,218.3,,,8.7,5.3,75.5,236,,73.3,230.3,,,9.2,5.6,,21.5,,52.1,163.6,,,7,4.2,52.9,166.1,,55.1,172.9,,,7.4,4.5,57.8,181.4,,64.2,201.7,,,9.3,5.6,64.4,202.1,,,,,,,,,,,,,,,,,,
0103/014,Dante Building,1600 STOCKTON ST,94133,"1600 STOCKTON ST
SAN FRANCISCO, CA 94133",15000,Office,http://propertymap.sfplanning.org/?&search=0103/014,1927,2018-04-01T00:00:00.000,Pending - Waiting for Clarification,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,52.7,125.1,-15.5,-15.5,53.3,3.6,56.1,128.8,,57.8,129.7,-12.4,-12.4,62.7,4.2,67.2,139.6,,57.7,126.7,,,59.5,4,61.4,130.6,,49.2,101,-31.8,-31.8,49.3,3.3,54.5,106.5,,81,149.6,1.1,1,80.6,5.4,81.6,150.2,,,,,,,,,,,,,,,,,,
0103/014A,1620 STOCKTON ST,1620 STOCKTON ST,94133,"1620 STOCKTON ST
SAN FRANCISCO, CA 94133",11446,Other,http://propertymap.sfplanning.org/?&search=0103/014A,1936,2023-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,84,156.6,27.2,27.2,63.7,5.6,86.6,159.3,,81.4,145.3,18,18,58.8,5.1,81.4,145.3,,78.7,141.1,14.6,14.6,57,5,78.7,141.1,,75.6,137,11.2,11.2,54.9,4.8,75.6,137,,,,,,,,,,,,,,,,,,
0106/001,201 Filbert,201 FILBERT ST,94133,"201 FILBERT ST
SAN FRANCISCO, CA 94133",44050,Office,http://propertymap.sfplanning.org/?&search=0106/001,1984,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,62,61.9,144.2,-13.2,-13.2,182.7,4.1,63,145.3,55,64.3,153.4,-5.6,-5.6,211.3,4.8,65.8,155.1,49,68.3,166.2,0.1,0.1,216.4,4.9,68.5,165.1,51,64.5,160.4,-1.8,-1.8,206.4,4.7,65.2,159.3,53,65.6,160.7,-4.1,-4.2,220.7,5,65.7,160.8,52,67.9,175.6,-2.2,,234.76,,67.5,175.1,,,,,,,,,
0107/007,Levi - 1155 Battery Street,1155 BATTERY ST,94111,"1155 BATTERY ST
SAN FRANCISCO, CA 94111",420700,Office,http://propertymap.sfplanning.org/?&search=0107/007,1982,2019-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,91,55.1,144.8,-46.4,-46.4,1382.7,3.9,56.2,145.9,90,57.1,147.3,-44.8,-44.8,1584.5,4.4,58.5,148.8,91,53.7,145.2,-45.4,-45.4,1449.5,4.1,53.9,145.1,90,54.8,146.5,-44.8,-44.8,1470.1,4.1,55.5,145.5,89,59,153.2,-43.3,-43.2,1562.2,4.4,59.1,153.1,94,57.8,159.9,-47.8,,1697.9,,57.9,160.9,94,56.1,,-47.7,,1682.18,,56.1,
0108/007,Interland - 1160 Battery Street,1160 BATTERY ST,94111,"1160 BATTERY ST
SAN FRANCISCO, CA 94111",215400,Office,http://propertymap.sfplanning.org/?&search=0108/007,1982,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,76,79.9,193.6,-28.1,-28.1,1171.4,5.4,79.9,193.6,79,68.8,184.5,-30.6,-30.6,1176.8,5.5,68.8,184.5,71,90.9,208.1,-22.8,-22.8,1369.5,6.4,90,205.4,66,97.2,221.4,-16.9,-16.9,1462,6.8,99.3,221.2,60,109.8,241.7,-10.9,-10.8,1708.9,7.9,108.9,238.7,72,96,226.2,-23.1,,1544.66,,98.2,233.5,74,92.8,,-25.2,,1501.04,,93,
0111/001,One Union,1075 FRONT ST,94111,"1075 FRONT ST
SAN FRANCISCO, CA 94111",39992,Office,http://propertymap.sfplanning.org/?&search=0111/001,1906,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,16,87.9,266.2,44.6,44.6,180.4,6.6,86.7,262.3,15,85.5,265.8,47.2,47.2,202.7,7.4,83.9,260.9,19,82,255.7,38.9,38.9,183.1,6.7,80.6,251.6,15,85.9,264.6,46,46,190.7,6.9,86.6,265.4,62,53.6,164.2,-11.7,-11.6,127.7,4.6,53.6,164.2,81,41.7,130.8,-30.2,-30.3,100.6,3.7,42.1,132.3,,,,,,,,,
0111/002,LPF 50 Green,50 GREEN ST,94111,"50 GREEN ST
SAN FRANCISCO, CA 94111",104344,Office,http://propertymap.sfplanning.org/?&search=0111/002,1907,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,90,49.3,134.4,-46.1,-46.1,366.8,3.5,50.3,135.4,89,49.4,136.4,-44.5,-44.5,416,4,51.6,138.8,90,49,135.1,-45.8,-45.8,390.3,3.7,50,136.1,88,52.7,140.7,-42.9,-42.9,413.1,4,54.7,142.8,88,52.6,136.9,-42.2,-42.2,433.5,4.2,52.7,136.9,87,51.5,143.5,-40.7,,470.51,,51.4,143.4,79,55.8,,-30.9,,490.23,,55.5,
0111/003,LPF 1050 Battery,1050 BATTERY ST,94111,"1050 BATTERY ST
SAN FRANCISCO, CA 94111",35649,Office,http://propertymap.sfplanning.org/?&search=0111/003,1907,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,89,53.6,106.2,-43.4,-43.4,120.9,3.4,55.1,107.2,90,48.7,101.3,-45,-45,120.9,3.4,51.3,104,86,49.9,105.6,-39.8,-39.8,120.2,3.4,50.6,105.6,84,53.7,107.8,-37.5,-37.5,126.7,3.6,53.1,105.9,89,43.8,100.7,-43,-43.1,115.3,3.2,43.9,100.9,85,49.5,115.9,-38.3,,131.35,,48.2,114.6,,,,,,,,,
0111/004,55 UNION ST,55 UNION ST,94111,"55 UNION ST
SAN FRANCISCO, CA 94111",43000,Office,http://propertymap.sfplanning.org/?&search=0111/004,1900,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,84,49.3,116.3,-36.7,-36.7,142.7,3.3,51.5,118.6,87,60,134.7,-40.6,-40.6,186.7,4.3,63.2,138,75,75.1,168.5,-26.9,-26.9,224,5.2,76.7,170.2,,84.7,207.5,40.1,40.1,262.7,6.1,88.2,211.2,,146.4,383.7,159.2,159.2,468.8,10.9,146.7,384.1,,,,,,,,,,,,,,,,,,
0112/001,Williams Sonoma - Ice House 1&2,151 UNION ST,94111,"151 Union St
SAN FRANCISCO, CA 94111",205964,Office,http://propertymap.sfplanning.org/?&search=0112/001,1914,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,92,49.8,115,-49.4,-49.4,685,3.3,49.3,113.6,,54,118.7,-19.8,-19.8,796.5,3.9,54,118.7,95,49.6,119.7,-51.8,-51.8,732.4,3.6,49.9,119.2,,48.7,117.2,-20.8,-20.8,718.1,3.5,49.7,118.2,94,52.7,130.9,-49.4,-49.4,787.8,3.8,52.6,130.8,91,56,150,-42.8,,922.51,,56,150.1,75,66.2,,-26.9,,1097.01,,66.2,
