RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
180,292,2015,Specialty,Seattle,WA,98115,1927,92437,,53.9,71.9,79.5,100.5,4986643,6645204,0,1012592,3974093
181,293,2015,NonResidential,Seattle,WA,98101,1914,128766,,50.9,50.9,156,156,6550618,6550618,0,6320071,230808
182,294,2015,NonResidential,Seattle,WA,98101,1913,107572,,53.6,58.9,117.8,124.2,5445025,5987042,2647510,2797632,0
183,295,2015,NonResidential,Seattle,WA,98101,1955,230880,,313.6,307.1,984.8,964.2,63668488,62337120,0,63671143,0
184,296,2015,Residential,Seattle,WA,98106,1917,56617,,33.8,39.5,78.4,90.8,1912904,2237428,0,1162568,750385
185,297,2015,Residential,Seattle,WA,98125,2009,56745,,55.1,58.8,131.7,139.5,2404644,2568364,0,1543306,861402
186,299,2015,Residential,Seattle,WA,98118,2003,67920,,65.7,70,198.1,207.7,2886468,3076052,0,2715857,170723
187,300,2015,Specialty,Seattle,WA,98108,2007,204961,,38.9,45.1,89.8,96.2,7971886,9239505,0,4796884,3175200
188,302,2015,NonResidential,Seattle,WA,98119,1973,76086,,37.3,43.4,81.9,88.3,2903161,3377544,0,1591782,1311445
189,313,2015,NonResidential,Seattle,WA,98119,1927,190000,,126.6,126.1,330,328.5,19816686,19745870,0,14760126,5057172
190,314,2015,NonResidential,Seattle,WA,98121,1961,122309,,196.7,204.8,317.7,323.3,24060332,25053130,0,6504794,17555808
191,315,2015,Specialty,Seattle,WA,98125,1995,215476,,116.9,121.8,266.4,269.3,25377650,26431774,0,14917481,10460791
192,316,2015,NonResidential,Seattle,WA,98121,2003,254273,,100.3,98.4,216.1,210,27787286,27255250,0,14677095,13110800
193,317,2015,Specialty,Seattle,WA,98101,1980,69400,,225.8,235.3,581.2,591.2,15671253,16330225,0,11425942,4245784
194,318,2015,NonResidential,Seattle,WA,98104,1900,62900,,96.1,96.1,187.8,187.8,6366808,6366808,0,2755434,3611488
195,319,2015,NonResidential,Seattle,WA,98104,1914,40000,,34.3,39.8,83.1,89.7,1372706,1590846,509178,863565,0
196,320,2015,NonResidential,Seattle,WA,98134,2008,203504,,18.6,19.6,58.3,61.6,3780078,3993902,0,3780233,0
197,322,2015,NonResidential,Seattle,WA,98121,1968,100734,,102,102,320.2,320.2,10273140,10273140,0,10273566,0
198,323,2015,NonResidential,Seattle,WA,98121,1981,79678,,77.8,78.4,223.8,216.2,4829951,4870875,0,4224467,605658
199,324,2015,NonResidential,Seattle,WA,98121,1978,234000,,91,91,283.1,283.1,19176010,19176010,0,18917009,259786
200,326,2015,NonResidential,Seattle,WA,98101,1989,369996,,65.4,65.4,205.4,205.4,24882924,24882924,0,24883957,0
201,327,2015,NonResidential,Seattle,WA,98101,1925,693450,,58.3,58,175.9,175,40433292,40250124,14089,38041251,2379542
202,328,2015,NonResidential,Seattle,WA,98191,1976,791396,,59.8,0,187.7,0,40451748,0,0,40453430,0
203,329,2015,NonResidential,Seattle,WA,98101,2000,747747,,58.2,60.3,170.5,177,32141070,33271260,0,28874890,3267376
